Date,RPi version,Round,Colony,RPi,Experiment,Treatment,Tube,Flipped_tube,Solution,Start,End,Change,Survival,Recording,Remained_escaped,Start_t,Stop_t,Model,Additional_notes,Exclude
07/05/2026,5,2,MY2,19,Amygdalin,0.5mM,L,R,0.5mM,NA,NA,NA,NA,0,NA,NA,15:35,Old_YOLO,,
07/05/2026,5,2,MY2,19,Amygdalin,0.5mM,R,L,S,NA,NA,NA,NA,0,NA,NA,15:35,Old_YOLO,,
07/05/2026,5,2,MY2,20,Amygdalin,0.1mM,L,R,0.1mM,3.3041,3.2545,0.0496,0,1,1,14:15,15:35,Old_YOLO,,
07/05/2026,5,2,MY2,20,Amygdalin,0.1mM,R,L,S,3.3797,3.2754,3.3797,0,1,1,14:15,15:35,Old_YOLO,,
07/05/2026,4,3,MY3,1,Amygdalin,5mM,L,R,5mM,3.241,3.1393,0.1017,1,1,1,15:35,14:15,Old_YOLO,,
07/05/2026,4,3,MY3,1,Amygdalin,5mM,R,L,S,3.2811,3.1343,0.1468,1,1,1,15:35,14:15,Old_YOLO,,
07/05/2026,4,3,MY3,2,Amygdalin,0.5mM,L,R,0.5mM,3.2421,3.1599,0.0822,1,1,1,15:35,14:15,Old_YOLO,,
07/05/2026,4,3,MY3,2,Amygdalin,0.5mM,R,L,S,3.4524,3.1882,0.2642,1,1,1,15:35,14:15,Old_YOLO,,
07/05/2026,4,3,MY3,3,Amygdalin,Control,L,R,S,3.3068,3.2095,0.0973,1,1,0,15:35,14:15,Old_YOLO,,
07/05/2026,4,3,MY3,3,Amygdalin,Control,R,L,S,3.3261,3.261,0.0651,1,1,0,15:35,14:15,Old_YOLO,,
07/05/2026,4,3,MY3,4,Amygdalin,2.5mM,L,R,S,3.348,3.277,0.071,1,1,0,15:35,14:15,Old_YOLO,,
07/05/2026,4,3,MY3,4,Amygdalin,2.5mM,R,L,2.5mM,3.3825,3.3383,0.0442,1,1,0,15:35,14:15,Old_YOLO,,
07/05/2026,4,3,MY3,5,Amygdalin,0.1mM,L,R,S,3.2343,3.1755,0.0588,1,1,1,15:35,14:15,Old_YOLO,,
07/05/2026,4,3,MY3,5,Amygdalin,0.1mM,R,L,0.1mM,3.2539,3.1789,0.075,1,1,1,15:35,14:15,Old_YOLO,,
07/05/2026,4,3,MY3,6,Amygdalin,2.5mM,L,R,2.5mM,3.2689,3.1643,0.1046,1,1,1,15:35,14:15,Old_YOLO,,
07/05/2026,4,3,MY3,6,Amygdalin,2.5mM,R,L,S,3.3145,3.1941,0.1204,1,1,1,15:35,14:15,Old_YOLO,,
07/05/2026,4,3,MY3,7,Amygdalin,0.5mM,L,R,0.5mM,3.3331,3.2251,0.108,0,1,1,15:35,14:15,Old_YOLO,,
07/05/2026,4,3,MY3,7,Amygdalin,0.5mM,R,L,S,3.2093,3.0985,0.1108,0,1,1,15:35,14:15,Old_YOLO,,
07/05/2026,4,3,MY3,8,Amygdalin,Control,L,R,S,3.3814,3.2841,0.0973,1,1,1,15:35,14:15,Old_YOLO,,
07/05/2026,4,3,MY3,8,Amygdalin,Control,R,L,S,3.3498,3.2824,0.0674,1,1,1,15:35,14:15,Old_YOLO,,
07/05/2026,4,3,MY3,9,Amygdalin,5mM,L,R,5mM,3.421,3.3091,0.1119,1,1,1,15:35,14:15,Old_YOLO,,
07/05/2026,4,3,MY3,9,Amygdalin,5mM,R,L,S,3.2691,3.1144,0.1547,1,1,1,15:35,14:15,Old_YOLO,,
07/05/2026,4,3,MY3,10,Amygdalin,0.1mM,L,R,0.1mM,3.3659,3.2379,0.128,1,1,1,15:35,14:15,Old_YOLO,,
07/05/2026,4,3,MY3,10,Amygdalin,0.1mM,R,L,S,3.3239,2.9197,0.4042,1,1,1,15:35,14:15,Old_YOLO,,
11/05/2026,4,4,MY4,1,Amygdalin,0.1mM,L,R,S,3.4745,3.3383,0.1362,1,1,1,11:35,11:40,Old_YOLO,,
11/05/2026,4,4,MY4,1,Amygdalin,0.1mM,R,L,0.1mM,3.3317,3.1997,0.132,1,1,1,11:35,11:40,Old_YOLO,,
11/05/2026,4,4,MY4,2,Amygdalin,2.5mM,L,R,S,3.3854,3.2696,0.1158,1,1,0,11:35,11:40,Old_YOLO,,
11/05/2026,4,4,MY4,2,Amygdalin,2.5mM,R,L,2.5mM,3.2529,3.1874,0.0655,1,1,0,11:35,11:40,Old_YOLO,,
11/05/2026,4,4,MY4,3,Amygdalin,5mM,L,R,5mM,3.2815,3.2076,0.0739,1,1,1,11:35,11:40,Old_YOLO,,
11/05/2026,4,4,MY4,3,Amygdalin,5mM,R,L,S,3.2793,3.1699,0.1094,1,1,1,11:35,11:40,Old_YOLO,,
11/05/2026,4,4,MY4,4,Amygdalin,0.5mM,L,R,S,3.288,3.1919,0.0961,0,1,1,11:35,11:40,Old_YOLO,,
11/05/2026,4,4,MY4,4,Amygdalin,0.5mM,R,L,0.5mM,3.2582,3.159,0.0992,0,1,1,11:35,11:40,Old_YOLO,,
11/05/2026,4,4,MY4,5,Amygdalin,Control,L,R,S,3.3523,3.2727,0.0796,0,1,1,11:35,11:40,Old_YOLO,,
11/05/2026,4,4,MY4,5,Amygdalin,Control,R,L,S,3.4221,3.3086,0.1135,0,1,1,11:35,11:40,Old_YOLO,,
11/05/2026,4,4,MY4,6,Amygdalin,5mM,L,R,S,3.3397,3.1635,0.1762,1,1,1,11:35,11:40,Old_YOLO,,
